canon_key,phrase_norm,freq,row_id
wind turbi,wind turbi,4,188
wind turbine,wind turbine,4,189
wooden or plastic handle,wooden or plastic handle,4,190
1 cm,1 cm,3,191
12 inches,12 inches,3,192
12-16 mm,12-16 mm,3,193
15 mm,15 mm,3,194
200 mm,200 mm,3,195
203 170 mm,203 170 mm,3,196
22 oerlikon 20 mm cannon,22 oerlikon 20 mm cannon,3,197
24 bofors 40 mm gun,24 bofors 40 mm gun,3,198
24 spokes,24 spokes,3,199
25 cm self-resonant coil,25 cm self-resonant coil,3,200
3 32 inch,3 32 inch,3,201
3 fold stretcher,3 fold stretcher,3,202
35 mm plates,35 mm plates,3,203
39mm kehin fvkd flat slide carburetors,39mm kehin fvkd flat slide carburetors,3,204
45 mm armament,45 mm armament,3,205
47mm calibre,47mm calibre,3,206
5.56 45mm,5.56 45mm,3,207
5.56 mm,5.56 mm,3,208
7.62 39mm ar-15 30 round magazines,7.62 39mm ar-15 30 round magazines,3,209
84 245 mm r ammunition,84 245 mm r ammunition,3,210
9mm para,9mm para,3,211
accordion-like canopy,accordion-like canopy,3,212
acid rain buildings,acid rain buildings,3,213
another frame,another frame,3,214
articulated ribs,articulated ribs,3,215
associated ribs,associated ribs,3,216
authentication frame,authentication frame,3,217
balance shaft system,balance shaft system,3,218
bamboo handle,bamboo handle,3,219
below 300mm,below 300mm,3,220
bent shafts,bent shafts,3,221
black tip,black tip,3,222
both pistol grip,both pistol grip,3,223
box-like frame,box-like frame,3,224
brass tip,brass tip,3,225
button eyes,button eyes,3,226
catheter tip,catheter tip,3,227
central shaft,central shaft,3,228
ciliate primary ribs,ciliate primary ribs,3,229
compact galil sar,compact galil sar,3,230
compact mass,compact mass,3,231
compact support,compact support,3,232
concentrated sulfuric acid rain,concentrated sulfuric acid rain,3,233
dense canopy,dense canopy,3,234
dirty or bent cartridges,dirty or bent cartridges,3,235
driver type plastic handle grips,driver type plastic handle grips,3,236
dropped frame,dropped frame,3,237
dual tip exhaust,dual tip exhaust,3,238
duralumin frame,duralumin frame,3,239
eject button,eject button,3,240
elongated grip handles,elongated grip handles,3,241
elongated rear handle,elongated rear handle,3,242
especially a collapsible aluminium frame,especially a collapsible aluminium frame,3,243
fake button holes,fake button holes,3,244
fold stretcher,fold stretcher,3,245
folding blades,folding blades,3,246
folding knife,folding knife,3,247
folding stretcher,folding stretcher,3,248
frame break,frame break,3,249
frame mounted metal bumper,frame mounted metal bumper,3,250
frame slip,frame slip,3,251
frameless cockpit canopy,frameless cockpit canopy,3,252
framesa sill frame,framesa sill frame,3,253
fujin s wind bag,fujin s wind bag,3,254
german 7.5 cm,german 7.5 cm,3,255
green tip,green tip,3,256
grip and metal rails,grip and metal rails,3,257
grip fixed stocks,grip fixed stocks,3,258
handle mount,handle mount,3,259
handle scales,handle scales,3,260
handle shapes,handle shapes,3,261
heavy frame,heavy frame,3,262
heavy metal shaft,heavy metal shaft,3,263
heavy wooden frame,heavy wooden frame,3,264
high canopy,high canopy,3,265
horizontal shaft,horizontal shaft,3,266
horizontal vertical and inverted planes,horizontal vertical and inverted planes,3,267
inward fold brass,inward fold brass,3,268
isolated light rain and or wintry precipitation,isolated light rain and or wintry precipitation,3,269
king s promotional umbrella,king s promotional umbrella,3,270
lapis handle,lapis handle,3,271
light metal frame,light metal frame,3,272
loop handle,loop handle,3,273
lower-tier last umbrella,lower-tier last umbrella,3,274
mikado stick,mikado stick,3,275
natural tea forest canopy,natural tea forest canopy,3,276
northwestern tip,northwestern tip,3,277
not corrode,not corrode,3,278
offshore wind energy storage,offshore wind energy storage,3,279
open-heel and strap models,open-heel and strap models,3,280
orange tip color,orange tip color,3,281
original lever frame,original lever frame,3,282
phase break,phase break,3,283
pointed rib vaults,pointed rib vaults,3,284
polymer frame,polymer frame,3,285
poor quality local coal,poor quality local coal,3,286
precision grip,precision grip,3,287
previously broken down nodules,previously broken down nodules,3,288
reference frame,reference frame,3,289
rib bone,rib bone,3,290
rib bulges,rib bulges,3,291
rip cutting,rip cutting,3,292
rivetted ribs,rivetted ribs,3,293
rotating frame,rotating frame,3,294
royax official website basket stretcher,royax official website basket stretcher,3,295
rule stick,rule stick,3,296
secondary ribs,secondary ribs,3,297
shared shaft,shared shaft,3,298
simple stretcher,simple stretcher,3,299
six spokes,six spokes,3,300
straight handle,straight handle,3,301
stuck,stuck,3,302
sturdy 16-foot frame,sturdy 16-foot frame,3,303
sword handle,sword handle,3,304
thinner vertec-style grip,thinner vertec-style grip,3,305
throttle handle,throttle handle,3,306
tierceron ribs,tierceron ribs,3,307
tip plate,tip plate,3,308
tip-up barrel,tip-up barrel,3,309
two stretchers,two stretchers,3,310
umbrella,umbrellas,3,311
up to six stretcher patients,up to six stretcher patients,3,312
upright shaft,upright shaft,3,313
water leaks,water leaks,3,314
waterproof breathable fabric,waterproof breathable fabric,3,315
waterproof materials,waterproof materials,3,316
waterproof panniers,waterproof panniers,3,317
wave function collapse,wave function collapse,3,318
which break,which break,3,319
which corrode,which corrode,3,320
whose writing tip,whose writing tip,3,321
wind resistance,wind resistance,3,322
wind rose,wind rose,3,323
wind-exposed areas,wind-exposed areas,3,324
wind-savers wind-savers,wind-savers wind-savers,3,325
wind-sheared trees,wind-sheared trees,3,326
wind-up windows,wind-up windows,3,327
wooden handle,wooden handle,3,328
wooden ribs,wooden ribs,3,329
wooden spokes,wooden spokes,3,330
yavuz 16 compact,yavuz 16 compact,3,331
10 mm bore,10 mm bore,2,332
10.5 13 cm,10.5 13 cm,2,333
10.5 cm,10.5 cm,2,334
105 mm shermans,105 mm shermans,2,335
128 mm main gun,128 mm main gun,2,336
13 inches,13 inches,2,337
15 inch bathurst alloy wheels,15 inch bathurst alloy wheels,2,338
16 spokes,16 spokes,2,339
178 mm,178 mm,2,340
19 inches,19 inches,2,341
2 mm,2 mm,2,342
20 mm mg 151 20s,20 mm mg 151 20s,2,343
20 mm mg 151 cannon,20 mm mg 151 cannon,2,344
20 mm stand-off armour plates,20 mm stand-off armour plates,2,345
32 cm,32 cm,2,346
32 spoke wheel,32 spoke wheel,2,347
37 mm cannon-armed french spad s.xii,37 mm cannon-armed french spad s.xii,2,348
40 mm ag36 grenade,40 mm ag36 grenade,2,349
450 mm,450 mm,2,350
5 mm,5 mm,2,351
5.56mm,5.56mm,2,352
5.56mm variant,5.56mm variant,2,353
50 mm,50 mm,2,354
533 mm,533 mm,2,355
60 to 90 cm,60 to 90 cm,2,356
7 8 mm,7 8 mm,2,357
7.5 cm,7.5 cm,2,358
741 cm 1,741 cm 1,2,359
75 mm co,75 mm co,2,360
76 mm mountain gun model,76 mm mountain gun model,2,361
8 inch howitzers,8 inch howitzers,2,362
85 mm chance brothers incandescent petroleum vapour installation,85 mm chance brothers incandescent petroleum vapour installation,2,363
88 mm,88 mm,2,364
9.2 inch howitzers,9.2 inch howitzers,2,365
acoustic resonance frame right the hexagonal cloud feature,acoustic resonance frame right the hexagonal cloud feature,2,366
all common tension-spoke wheels,all common tension-spoke wheels,2,367
another wooden frame,another wooden frame,2,368
approximately 4.25 inches,approximately 4.25 inches,2,369
arrow s shaft,arrow s shaft,2,370
ballistic tip,ballistic tip,2,371
bare chassis frame-rails,bare chassis frame-rails,2,372
barrier break,barrier break,2,373
beef ribs,beef ribs,2,374
bent bolt,bent bolt,2,375
bent forceps,bent forceps,2,376
bent roof poles,bent roof poles,2,377
black shaft streaks,black shaft streaks,2,378
bladed or ovalized spokes,bladed or ovalized spokes,2,379
blue and red frame,blue and red frame,2,380
bolt handle,bolt handle,2,381
bone-in rib steak,bone-in rib steak,2,382
both the handle,both the handle,2,383
brush handle,brush handle,2,384
button-down collar,button-down collar,2,385
button-shaped bulb,button-shaped bulb,2,386
canada-wide acid rain strategy,canada-wide acid rain strategy,2,387
canopy jettison,canopy jettison,2,388
carved wooden handle,carved wooden handle,2,389
cloth ribs,cloth ribs,2,390
collapsed caverns,collapsed caverns,2,391
compact length,compact length,2,392
compact solution,compact solution,2,393
compact track loader.https www.bobcat.com loaders compact-track-loaders features,compact track loader.https www.bobcat.com loaders compact-track-loaders features,2,394
cone tip,cone tip,2,395
continuity break,continuity break,2,396
corrode,corrode,2,397
crossed rib vault,crossed rib vault,2,398
crossed spokes,crossed spokes,2,399
crotch strap,crotch strap,2,400
distribution frame,distribution frame,2,401
elaborate sculpted frame,elaborate sculpted frame,2,402
end tip,end tip,2,403
evacuation tip,evacuation tip,2,404
excellent grip,excellent grip,2,405
experimental 3 mm,experimental 3 mm,2,406
extraction shaft,extraction shaft,2,407
filtration break,filtration break,2,408
final tip,final tip,2,409
finger stick,finger stick,2,410
five button serge foreign service frocks,five button serge foreign service frocks,2,411
flexible frame,flexible frame,2,412
flip-top the flip-top swing-top or grolsch style,flip-top the flip-top swing-top or grolsch style,2,413
fogel grip,fogel grip,2,414
fold,fold,2,415
fold-down second-row seating,fold-down second-row seating,2,416
folding construction framework,folding construction framework,2,417
folding pocket knife,folding pocket knife,2,418
folding spike bayonet,folding spike bayonet,2,419
folding vertical grip,folding vertical grip,2,420
four slender strap-shaped petals,four slender strap-shaped petals,2,421
frame antenna,frame antenna,2,422
frame building,frame building,2,423
frame bundle,frame bundle,2,424
frame ch,frame ch,2,425
frame e,frame e,2,426
frame headers,frame headers,2,427
frame left selector switch cutout,frame left selector switch cutout,2,428
frame sizes,frame sizes,2,429
frame story,frame story,2,430
frame tubing,frame tubing,2,431
frame-subtype-dependent fixed fields,frame-subtype-dependent fixed fields,2,432
free-fall frame,free-fall frame,2,433
french drip coffee pots,french drip coffee pots,2,434
front and back strap,front and back strap,2,435
front strap,front strap,2,436
fruit jam,fruit jam,2,437
gila bend,gila bend,2,438
golden frame,golden frame,2,439
greyish-white or pale-gray compact,greyish-white or pale-gray compact,2,440
grip tape,grip tape,2,441
ground break,ground break,2,442
h-frame features,h-frame features,2,443
handle and gently tapered body,handle and gently tapered body,2,444
hardwood frame,hardwood frame,2,445
heavily corroded iron,heavily corroded iron,2,446
high-grip pedals,high-grip pedals,2,447
hooked tip,hooked tip,2,448
human precision grip capabilities,human precision grip capabilities,2,449
individually shaped transverse ribs,individually shaped transverse ribs,2,450
inscriptional ribs,inscriptional ribs,2,451
intersecting ribs,intersecting ribs,2,452
intersecting transverse ribs,intersecting transverse ribs,2,453
iron grip,iron grip,2,454
item break,item break,2,455
javelin tip,javelin tip,2,456
jenson button,jenson button,2,457
larger 43mm forks,larger 43mm forks,2,458
later two 30 mm nr-30 cannons,later two 30 mm nr-30 cannons,2,459
launch shaft,launch shaft,2,460
leading spokes,leading spokes,2,461
leakage,leakage,2,462
linkage break,linkage break,2,463
loading frame,loading frame,2,464
long 5 cm gun,long 5 cm gun,2,465
long frame,long frame,2,466
long grip handles,long grip handles,2,467
long handle or ear handles,long handle or ear handles,2,468
longer handled bent version,longer handled bent version,2,469
longer time frame,longer time frame,2,470
low pressure hyperbaric stretchers,low pressure hyperbaric stretchers,2,471
management frame,management frame,2,472
mantle break,mantle break,2,473
many wind turbine blades,many wind turbine blades,2,474
marble shaft,marble shaft,2,475
memorial s canopy,memorial s canopy,2,476
modern tomahawk shaft,modern tomahawk shaft,2,477
modified grip and sight assemblies,modified grip and sight assemblies,2,478
modified parachute canopy,modified parachute canopy,2,479
more ergonomic cocking handle,more ergonomic cocking handle,2,480
most black grip tape,most black grip tape,2,481
